source,lithology_class,mean_effective_absolute_deviation,median_effective_absolute_deviation
Macrostrat,carbonate,0.006631213705986738,0.0036091827787458897
Macrostrat,evaporite,0.0042379871010780334,0.0030932328663766384
Macrostrat,felsic,0.0071889255195856094,0.0037505843210965395
Macrostrat,mafic,0.007777920924127102,0.003998675849288702
Macrostrat,metamorphic,0.0056561920791864395,0.0033138860017061234
Macrostrat,other,0.007204568944871426,0.004305106122046709
Macrostrat,siliciclastic,0.005044022109359503,0.0034326505847275257
Macrostrat,unknown,0.0047076051123440266,0.00324474205262959
Macrostrat,volcanic,0.00713628064841032,0.0046290867030620575
GLiM,carbonate,0.005832933820784092,0.004039264749735594
GLiM,evaporite,0.004580572247505188,0.003178096143528819
GLiM,felsic,0.005863029509782791,0.0033322442322969437
GLiM,mafic,0.00669194245710969,0.003370493883267045
GLiM,metamorphic,0.009229631163179874,0.004088767804205418
GLiM,other,0.008960546925663948,0.004454036708921194
GLiM,siliciclastic,0.006883950904011726,0.0035229655914008617
GLiM,unknown,0.00483021792024374,0.0033556742127984762
GLiM,volcanic,0.008028501644730568,0.0037670843303203583
Combined,carbonate,0.006888503674417734,0.003982042893767357
Combined,evaporite,0.004638442769646645,0.0033993683755397797
Combined,felsic,0.007188142742961645,0.004203019663691521
Combined,mafic,0.007112778257578611,0.003975484054535627
Combined,metamorphic,0.007538556586951017,0.004006704315543175
Combined,other,0.006041302345693111,0.0037966882809996605
Combined,siliciclastic,0.005335536319762468,0.0034469887614250183
Combined,unknown,0.004622579086571932,0.0035453629679977894
Combined,volcanic,0.0065055168233811855,0.0037725369911640882
