source,family,tau
Macrostrat,As_Sb_Bi_sulfosalts,0.19690118730068207
Macrostrat,Au_Ag_native,0.14131829142570496
Macrostrat,Barite,0.15165826678276062
Macrostrat,Carbonates,0.17464564740657806
Macrostrat,Clay_minerals,0.18537858128547668
Macrostrat,Cu_carbonates_silicates,0.13703759014606476
Macrostrat,Cu_oxides,0.14544767141342163
Macrostrat,Cu_sulfides_other,0.6843264102935791
Macrostrat,Cu_sulfides_primary,0.15035778284072876
Macrostrat,Cu_sulfides_supergene,0.12983615696430206
Macrostrat,Epidote_group,0.23874437808990479
Macrostrat,Evaporite_sulfates,0.2124066799879074
Macrostrat,Fe_oxides_hydroxides,0.11289817839860916
Macrostrat,Fe_sulfides,0.115993931889534
Macrostrat,Feldspars,0.14942002296447754
Macrostrat,Halides_fluorite,0.5035341382026672
Macrostrat,Halides_other,0.2509373724460602
Macrostrat,Micas_sericite,0.1475771814584732
Macrostrat,Mn_oxides,0.21968282759189606
Macrostrat,Mo_sulfides,0.14891862869262695
Macrostrat,Native_elements_misc,0.18437722325325012
Macrostrat,Ni_Co_sulfides_arsenides,0.1898522526025772
Macrostrat,Other_silicates,0.15037409961223602
Macrostrat,Oxides_misc,0.2422437071800232
Macrostrat,PGE_alloys_intermetallics,0.2918718755245209
Macrostrat,Pb_sulfides,0.14018917083740234
Macrostrat,Phosphates_apatite,0.26075154542922974
Macrostrat,Phosphates_other,0.2177543193101883
Macrostrat,Quartz,0.13030342757701874
Macrostrat,REE_accessory,0.23699793219566345
Macrostrat,Skarn_calc_silicates,0.12979477643966675
Macrostrat,Sulfates_other,0.21531811356544495
Macrostrat,Sulfides_misc,0.17040081322193146
Macrostrat,Ti_oxides,0.1891031265258789
Macrostrat,Zn_sulfides,0.1265462338924408
GLiM,As_Sb_Bi_sulfosalts,0.1640748679637909
GLiM,Au_Ag_native,0.1688479334115982
GLiM,Barite,0.15399308502674103
GLiM,Carbonates,0.26553618907928467
GLiM,Clay_minerals,0.14972588419914246
GLiM,Cu_carbonates_silicates,0.1387692093849182
GLiM,Cu_oxides,0.1640666425228119
GLiM,Cu_sulfides_other,0.48364347219467163
GLiM,Cu_sulfides_primary,0.0907917469739914
GLiM,Cu_sulfides_supergene,0.15961134433746338
GLiM,Epidote_group,0.22663865983486176
GLiM,Evaporite_sulfates,0.23248165845870972
GLiM,Fe_oxides_hydroxides,0.11466126888990402
GLiM,Fe_sulfides,0.10479187220335007
GLiM,Feldspars,0.1354880928993225
GLiM,Halides_fluorite,0.16698913276195526
GLiM,Halides_other,0.5210009217262268
GLiM,Micas_sericite,0.12762317061424255
GLiM,Mn_oxides,0.22610892355442047
GLiM,Mo_sulfides,0.1488652229309082
GLiM,Native_elements_misc,0.15607815980911255
GLiM,Ni_Co_sulfides_arsenides,0.648247241973877
GLiM,Other_silicates,0.25807446241378784
GLiM,Oxides_misc,0.32367730140686035
GLiM,PGE_alloys_intermetallics,0.3969968557357788
GLiM,Pb_sulfides,0.12214476615190506
GLiM,Phosphates_apatite,0.2400970607995987
GLiM,Phosphates_other,0.35941174626350403
GLiM,Quartz,0.11238625645637512
GLiM,REE_accessory,0.23623396456241608
GLiM,Skarn_calc_silicates,0.10710020363330841
GLiM,Sulfates_other,0.21865364909172058
GLiM,Sulfides_misc,0.2572440207004547
GLiM,Ti_oxides,0.1635330468416214
GLiM,Zn_sulfides,0.14471161365509033
Combined,As_Sb_Bi_sulfosalts,0.1629839390516281
Combined,Au_Ag_native,0.14080721139907837
Combined,Barite,0.14947918057441711
Combined,Carbonates,0.30603882670402527
Combined,Clay_minerals,0.20461954176425934
Combined,Cu_carbonates_silicates,0.12832581996917725
Combined,Cu_oxides,0.13819600641727448
Combined,Cu_sulfides_other,0.6762564778327942
Combined,Cu_sulfides_primary,0.12670400738716125
Combined,Cu_sulfides_supergene,0.12781038880348206
Combined,Epidote_group,0.21366289258003235
Combined,Evaporite_sulfates,0.20550721883773804
Combined,Fe_oxides_hydroxides,0.11546303331851959
Combined,Fe_sulfides,0.1311742663383484
Combined,Feldspars,0.15497171878814697
Combined,Halides_fluorite,0.4237554371356964
Combined,Halides_other,0.23668822646141052
Combined,Micas_sericite,0.12558789551258087
Combined,Mn_oxides,0.2275514453649521
Combined,Mo_sulfides,0.14013755321502686
Combined,Native_elements_misc,0.1670903116464615
Combined,Ni_Co_sulfides_arsenides,0.20338906347751617
Combined,Other_silicates,0.10711010545492172
Combined,Oxides_misc,0.27452337741851807
Combined,PGE_alloys_intermetallics,0.3325236141681671
Combined,Pb_sulfides,0.12952935695648193
Combined,Phosphates_apatite,0.2713501751422882
Combined,Phosphates_other,0.22977973520755768
Combined,Quartz,0.12159332633018494
Combined,REE_accessory,0.230234757065773
Combined,Skarn_calc_silicates,0.15107299387454987
Combined,Sulfates_other,0.24070948362350464
Combined,Sulfides_misc,0.21416644752025604
Combined,Ti_oxides,0.17518211901187897
Combined,Zn_sulfides,0.14018473029136658
