source,seed,reference_seed,topic_reference_order,cosine_to_primary_seed
Macrostrat,42,42,1,1.0
Macrostrat,42,42,2,0.9999999403953552
Macrostrat,42,42,3,1.0000001192092896
Macrostrat,42,42,4,1.0000001192092896
Macrostrat,42,42,5,1.0
Macrostrat,42,42,6,1.0000001192092896
Macrostrat,42,42,7,0.9999999403953552
Macrostrat,123,42,1,0.9997603893280029
Macrostrat,123,42,2,0.9963579177856445
Macrostrat,123,42,3,0.9999381899833679
Macrostrat,123,42,4,0.9997068047523499
Macrostrat,123,42,5,0.9997831583023071
Macrostrat,123,42,6,0.9990845322608948
Macrostrat,123,42,7,0.9998632669448853
Macrostrat,7,42,1,0.9997902512550354
Macrostrat,7,42,2,0.998665452003479
Macrostrat,7,42,3,0.9998999834060669
Macrostrat,7,42,4,0.9998318552970886
Macrostrat,7,42,5,0.9998037219047546
Macrostrat,7,42,6,0.9996125102043152
Macrostrat,7,42,7,0.9998926520347595
GLiM,42,42,1,1.0000001192092896
GLiM,42,42,2,1.0
GLiM,42,42,3,1.0000001192092896
GLiM,42,42,4,1.0000001192092896
GLiM,42,42,5,0.9999999403953552
GLiM,42,42,6,1.0
GLiM,42,42,7,1.0000001192092896
GLiM,123,42,1,0.9996103644371033
GLiM,123,42,2,0.9986374974250793
GLiM,123,42,3,0.9996949434280396
GLiM,123,42,4,0.9995197057723999
GLiM,123,42,5,0.9995379447937012
GLiM,123,42,6,0.999177873134613
GLiM,123,42,7,0.9912266135215759
GLiM,7,42,1,0.999561607837677
GLiM,7,42,2,0.9985113143920898
GLiM,7,42,3,0.9999868273735046
GLiM,7,42,4,0.9986870884895325
GLiM,7,42,5,0.9982991814613342
GLiM,7,42,6,0.997381329536438
GLiM,7,42,7,0.9390072226524353
Combined,42,42,1,1.0
Combined,42,42,2,1.0
Combined,42,42,3,1.0000001192092896
Combined,42,42,4,1.0
Combined,42,42,5,0.9999999403953552
Combined,42,42,6,1.0
Combined,42,42,7,0.9999999403953552
Combined,123,42,1,0.9991903901100159
Combined,123,42,2,0.9959172010421753
Combined,123,42,3,0.9997512698173523
Combined,123,42,4,0.9999121427536011
Combined,123,42,5,0.9997516870498657
Combined,123,42,6,0.9989134073257446
Combined,123,42,7,0.9995617866516113
Combined,7,42,1,0.9996572732925415
Combined,7,42,2,0.9957995414733887
Combined,7,42,3,0.9997097849845886
Combined,7,42,4,0.9998416900634766
Combined,7,42,5,0.999198317527771
Combined,7,42,6,0.998044490814209
Combined,7,42,7,0.9917864203453064
