prior_setting,source_1,source_2,mean_topic_cosine,minimum_topic_cosine,topic_1_cosine,topic_2_cosine,topic_3_cosine,topic_4_cosine,topic_5_cosine,topic_6_cosine,topic_7_cosine
equal_high,Macrostrat,Macrostrat,1.0000000510896956,1.0,1.0,1.0000001192092896,1.0,1.0,1.0,1.0000001192092896,1.0000001192092896
equal_high,Macrostrat,GLiM,0.9868849771363395,0.961251437664032,0.9963988065719604,0.961251437664032,0.9977825284004211,0.9779199361801147,0.9887966513633728,0.9877575039863586,0.9982879757881165
equal_high,Macrostrat,Combined,0.9920113682746887,0.9617845416069031,0.9946934580802917,0.9966331720352173,0.9979832768440247,0.9980819225311279,0.9980379343032837,0.9968652725219727,0.9617845416069031
equal_high,GLiM,Macrostrat,0.9868849771363395,0.961251437664032,0.9963988065719604,0.961251437664032,0.9977825284004211,0.9779199361801147,0.9887966513633728,0.9877575039863586,0.9982879757881165
equal_high,GLiM,GLiM,0.9999999829701015,0.9999999403953552,1.0000001192092896,0.9999999403953552,0.9999999403953552,1.0,1.0,0.9999999403953552,0.9999999403953552
equal_high,GLiM,Combined,0.982263846056802,0.9702025651931763,0.9907277226448059,0.9702025651931763,0.9999776482582092,0.9761186242103577,0.9832748770713806,0.9849931001663208,0.970552384853363
equal_high,Combined,Macrostrat,0.9920113682746887,0.9617845416069031,0.9946934580802917,0.9966331720352173,0.9979832768440247,0.9980819225311279,0.9980379343032837,0.9968652725219727,0.9617845416069031
equal_high,Combined,GLiM,0.982263846056802,0.9702025651931763,0.9907277226448059,0.9702025651931763,0.9999776482582092,0.9761186242103577,0.9832748770713806,0.9849931001663208,0.970552384853363
equal_high,Combined,Combined,1.0000000170298986,0.9999999403953552,1.0,1.0,1.0,1.0000001192092896,0.9999999403953552,0.9999999403953552,1.0000001192092896
learned_equal_hyperprior,Macrostrat,Macrostrat,1.0000000085149492,0.9999999403953552,0.9999999403953552,1.0,1.0,1.0000001192092896,1.0000001192092896,0.9999999403953552,0.9999999403953552
learned_equal_hyperprior,Macrostrat,GLiM,0.9274916393416268,0.6105771064758301,0.9961726665496826,0.9407640695571899,0.9999467730522156,0.9741483926773071,0.9827868938446045,0.9880455732345581,0.6105771064758301
learned_equal_hyperprior,Macrostrat,Combined,0.9933533072471619,0.9713070392608643,0.9953889846801758,0.9987624287605286,0.9973269701004028,0.9971729516983032,0.9972561001777649,0.9962586760520935,0.9713070392608643
learned_equal_hyperprior,GLiM,Macrostrat,0.9274916393416268,0.6105771064758301,0.9961726665496826,0.9407640695571899,0.9999467730522156,0.9741483926773071,0.9827868938446045,0.9880455732345581,0.6105771064758301
learned_equal_hyperprior,GLiM,GLiM,0.999999965940203,0.9999999403953552,0.9999999403953552,0.9999999403953552,1.0,1.0,1.0,0.9999999403953552,0.9999999403953552
learned_equal_hyperprior,GLiM,Combined,0.9383550712040493,0.7049278616905212,0.9891542196273804,0.9471660256385803,0.9979930520057678,0.9711349606513977,0.9790973663330078,0.9790120124816895,0.7049278616905212
learned_equal_hyperprior,Combined,Macrostrat,0.9933533072471619,0.9713070392608643,0.9953889846801758,0.9987624287605286,0.9973269701004028,0.9971729516983032,0.9972561001777649,0.9962586760520935,0.9713070392608643
learned_equal_hyperprior,Combined,GLiM,0.9383550712040493,0.7049278616905212,0.9891542196273804,0.9471660256385803,0.9979930520057678,0.9711349606513977,0.9790973663330078,0.9790120124816895,0.7049278616905212
learned_equal_hyperprior,Combined,Combined,1.0000000170298986,0.9999999403953552,0.9999999403953552,1.0000001192092896,1.0,1.0,1.0000001192092896,0.9999999403953552,1.0
original,Macrostrat,Macrostrat,1.0000000425747462,0.9999998807907104,1.0000001192092896,1.0,1.0000001192092896,0.9999998807907104,1.0000001192092896,1.0000001192092896,0.9999999403953552
original,Macrostrat,GLiM,0.9657504388264248,0.8372451663017273,0.9967066645622253,0.9690106511116028,0.9998975992202759,0.9795258641242981,0.9904780983924866,0.9873890280723572,0.8372451663017273
original,Macrostrat,Combined,0.992455107825143,0.9697381258010864,0.9955464601516724,0.9968122839927673,0.9957785606384277,0.9987621903419495,0.9964113831520081,0.9941367506980896,0.9697381258010864
original,GLiM,Macrostrat,0.9657504388264248,0.8372451663017273,0.9967066645622253,0.9690106511116028,0.9998975992202759,0.9795258641242981,0.9904780983924866,0.9873890280723572,0.8372451663017273
original,GLiM,GLiM,1.0000000085149492,0.9999999403953552,1.0000001192092896,1.0,0.9999999403953552,1.0,0.9999999403953552,0.9999999403953552,1.0000001192092896
original,GLiM,Combined,0.9803094097546169,0.9439386129379272,0.9907351732254028,0.9801808595657349,0.9969449043273926,0.9800946116447449,0.9862046837806702,0.9840670228004456,0.9439386129379272
original,Combined,Macrostrat,0.992455107825143,0.9697381258010864,0.9955464601516724,0.9968122839927673,0.9957785606384277,0.9987621903419495,0.9964113831520081,0.9941367506980896,0.9697381258010864
original,Combined,GLiM,0.9803094097546169,0.9439386129379272,0.9907351732254028,0.9801808595657349,0.9969449043273926,0.9800946116447449,0.9862046837806702,0.9840670228004456,0.9439386129379272
original,Combined,Combined,1.0000000510896956,0.9999999403953552,1.0000001192092896,0.9999999403953552,1.0000001192092896,0.9999999403953552,1.0000001192092896,1.0000001192092896,1.0
