source,prior_setting,seed,mean_topic_cosine,minimum_topic_cosine,mean_top10_jaccard,minimum_top10_jaccard,dominant_topic_agreement
Macrostrat,original,42,0.6529513469764164,0.2606668174266815,0.48903197642693436,0.17647058823529413,0.0
Macrostrat,original,123,0.6557119190692902,0.2654949724674225,0.4995361781076067,0.25,0.0
Macrostrat,original,7,0.6607497483491898,0.24990995228290558,0.46608946608946616,0.1111111111111111,0.0
Macrostrat,equal_high,42,0.6573678042207446,0.2526613771915436,0.4754265342500637,0.17647058823529413,0.0
Macrostrat,equal_high,123,0.6642283414091382,0.2529752850532532,0.504730563554093,0.17647058823529413,0.0
Macrostrat,equal_high,7,0.661801815032959,0.2620493173599243,0.4796949082663368,0.1111111111111111,0.0
GLiM,original,42,0.6543326079845428,0.25785550475120544,0.521666009060967,0.17647058823529413,0.009700889248181084
GLiM,original,123,0.6283396439892905,0.26589834690093994,0.5319414479078344,0.17647058823529413,0.009700889248181084
GLiM,original,7,0.6577489461217608,0.2724243998527527,0.5566179851894137,0.1111111111111111,0.009700889248181084
GLiM,equal_high,42,0.6532175498349326,0.25806668400764465,0.5756465756465756,0.1111111111111111,0.0
GLiM,equal_high,123,0.6521129906177521,0.2594965994358063,0.5939615939615939,0.1111111111111111,0.0
GLiM,equal_high,7,0.6563906797340938,0.2677663266658783,0.5360353931782502,0.3333333333333333,0.009700889248181084
