source,variable,category,full_count,trimmed_count,full_percent,trimmed_percent,percentage_point_change
,Deposit_type,IOCG,82,73,6.628940986257073,6.576576576576576,-0.05236440968049705
,Deposit_type,Magmatic sulfide,81,72,6.548100242522231,6.486486486486487,-0.06161375603574437
,Deposit_type,Porphyry,595,535,48.100242522231206,48.1981981981982,0.09795567596699306
,Deposit_type,Sediment-Hosted,138,124,11.156022635408245,11.17117117117117,0.015148535762925242
,Deposit_type,VMS,341,306,27.566693613581243,27.56756756756757,0.0008739539863245049
,age_category,Cenozoic,303,266,24.494745351657237,23.963963963963963,-0.5307813876932715
,age_category,Mesozoic,199,181,16.08730800323363,16.306306306306308,0.2189983030726761
,age_category,Paleozoic,213,188,17.219078415521423,16.936936936936934,-0.28214147858448557
,age_category,Precambrian,257,221,20.776071139854487,19.90990990990991,-0.8661612299445787
,age_category,Unknown,265,254,21.422797089733226,22.882882882882882,1.460085793149657
Macrostrat,Macrostrat_lithology,carbonate,100,87,8.084074373484237,7.837837837837839,-0.24623653564639775
Macrostrat,Macrostrat_lithology,felsic,224,191,18.108326596604687,17.207207207207205,-0.9011193893974812
Macrostrat,Macrostrat_lithology,mafic,156,147,12.61115602263541,13.243243243243244,0.6320872206078354
Macrostrat,Macrostrat_lithology,metamorphic,94,82,7.599029911075182,7.3873873873873865,-0.2116425236877953
Macrostrat,Macrostrat_lithology,other,375,340,30.315278900565882,30.630630630630627,0.3153517300647446
Macrostrat,Macrostrat_lithology,siliciclastic,56,47,4.527081649151172,4.234234234234234,-0.2928474149169379
Macrostrat,Macrostrat_lithology,unknown,2,2,0.16168148746968472,0.18018018018018017,0.018498692710495472
Macrostrat,Macrostrat_lithology,volcanic,230,214,18.593371059013744,19.27927927927928,0.6859082202655353
GLiM,GLiM_lithology,carbonate,75,68,6.063055780113177,6.126126126126126,0.06307034601294864
GLiM,GLiM_lithology,felsic,161,143,13.01535974130962,12.882882882882882,-0.13247685842673884
GLiM,GLiM_lithology,mafic,27,25,2.1827000808407435,2.2522522522522523,0.0695521714115084
GLiM,GLiM_lithology,metamorphic,196,170,15.844785772029102,15.315315315315313,-0.5294704567137876
GLiM,GLiM_lithology,other,331,303,26.758286176232822,27.297297297297295,0.5390111210644755
GLiM,GLiM_lithology,siliciclastic,134,116,10.832659660468877,10.45045045045045,-0.3822092100184263
GLiM,GLiM_lithology,unknown,8,8,0.6467259498787389,0.7207207207207207,0.07399477084198189
GLiM,GLiM_lithology,volcanic,305,277,24.65642683912692,24.954954954954957,0.29852811582803673
