Country,Continent
Afghanistan,Asia
Algeria,Africa
Angola,Africa
Argentina,South America
Armenia,Asia
Australia,Oceania
Azerbaijan,Asia
Belgium,Europe
Bolivia,South America
Botswana,Africa
Brazil,South America
Bulgaria,Europe
Canada,North America
Chile,South America
China,Asia
Colombia,South America
Costa Rica,North America
Cuba,North America
Cyprus,Asia
DR Congo,Africa
Dominican Republic,North America
Ecuador,South America
Egypt,Africa
Eurasian Plate,Unknown
Fiji,Oceania
Finland,Europe
France,Europe
Georgia,Asia
Germany,Europe
Greece,Europe
Guatemala,North America
Haiti,North America
Hungary,Europe
India,Asia
Indonesia,Asia
Iran,Asia
Ireland,Europe
Israel,Asia
Italy,Europe
Japan,Asia
Kazakhstan,Asia
Kosovo,Europe
Kyrgyzstan,Asia
Laos,Asia
Malaysia,Asia
Mali,Africa
Mauritania,Africa
Mexico,North America
Mongolia,Asia
Morocco,Africa
Myanmar,Asia
Namibia,Africa
Niger,Africa
North Macedonia,Europe
Norway,Europe
Oman,Asia
Pakistan,Asia
Panama,North America
Papua New Guinea,Oceania
Peru,South America
Philippines,Asia
Poland,Europe
Portugal,Europe
Puerto Rico,North America
Romania,Europe
Russia,Europe
Saudi Arabia,Asia
Serbia,Europe
Slovakia,Europe
Solomon Islands,Oceania
South Africa,Africa
Spain,Europe
Sweden,Europe
Taiwan,Asia
Thailand,Asia
Turkey,Asia
USA,North America
Uganda,Africa
Uzbekistan,Asia
Vietnam,Asia
Zambia,Africa
Zimbabwe,Africa
