holdout_continent,K,validation_perplexity_mean,validation_perplexity_std,mean_topic_cosine_mean,minimum_topic_cosine_min,perplexity_rank,stability_rank,combined_rank
Africa,5,27.400772282010706,0.21597830281067046,0.9063258773294591,0.8606663286613427,1.0,3.0,4.0
Africa,6,28.71328966885912,0.43785053431114485,0.9272003194292825,0.4141002867570237,2.0,1.0,3.0
Africa,7,28.983734863605733,0.181833577780794,0.8341192391753923,0.04645375161296307,3.0,5.0,8.0
Africa,8,29.73957390201213,0.2065890092210382,0.8995112715272809,0.07130910717806979,4.0,4.0,8.0
Africa,9,30.04490924696957,0.49986139805282115,0.9128485054769766,0.29496372669155846,5.0,2.0,7.0
Asia,5,28.255113192698715,0.5778272858734368,0.9594312535262737,0.857248163471127,1.0,1.0,2.0
Asia,6,29.07591172188798,0.4762112769010007,0.7933191961971247,0.0567560866704436,2.0,5.0,7.0
Asia,7,30.232145971731907,0.7973797574644144,0.9036912597311231,0.6624824905668981,3.0,2.0,5.0
Asia,8,30.759170851150913,0.8297694492664482,0.84084911273426,0.12198519294759788,4.0,3.0,7.0
Asia,9,31.458195958615775,1.1084584650184366,0.8282400523328753,0.0002809373981069511,5.0,4.0,9.0
Europe,5,28.73347400414542,0.35877450358466323,0.9396648796034098,0.8049782831641784,1.0,2.0,3.0
Europe,6,29.46980774691329,0.2926502429018072,0.9718233568224156,0.9315832920580454,2.0,1.0,3.0
Europe,7,30.172153959510847,0.32338046996483333,0.8321645979803424,0.22709288716888634,3.0,5.0,8.0
Europe,8,31.0787603286293,0.05693282831785537,0.9314263562008444,0.45570538651690945,4.0,3.0,7.0
Europe,9,31.179382648957088,0.6448268686976552,0.8874004326455331,0.08600531226893277,5.0,4.0,9.0
North America,5,29.374739996628065,0.6867919422381636,0.9693328298220796,0.8729844584299666,1.0,1.0,2.0
North America,6,30.21437015344307,0.9276005226876953,0.9530759759178767,0.9039650357342031,2.0,2.0,4.0
North America,7,31.014538668492253,1.009438740482056,0.8357031802452992,0.4004188990776667,3.0,5.0,8.0
North America,8,31.833557723208255,0.619856450151096,0.8408979561400168,0.07780939134739603,4.0,4.0,8.0
North America,9,32.00354447578667,0.1714481365659236,0.8926127786799402,0.26138516021181923,5.0,3.0,8.0
Oceania,5,28.36024906525195,0.29814818917725233,0.896131268858196,0.1520248072235491,1.0,4.0,5.0
Oceania,6,29.200514995073195,0.1991996254241445,0.9202396722428597,0.6258857791912794,3.0,3.0,6.0
Oceania,7,29.10936806908885,0.25647801634257444,0.9635273412745954,0.8293808437059479,2.0,1.0,3.0
Oceania,8,30.2589906967997,0.40688290869345406,0.9337515035766436,0.33671559218549496,4.0,2.0,6.0
Oceania,9,30.297950790442048,0.4839654466651759,0.8834740573838653,0.12099314739403863,5.0,5.0,10.0
South America,5,28.262712413481356,0.9501295855726615,0.9522503190466315,0.871659798602901,1.0,1.0,2.0
South America,6,29.012095427888294,0.8196772343128086,0.9055445557968066,0.5300003560165348,2.0,3.0,5.0
South America,7,29.541755039499687,0.7268116859749078,0.8898006018889161,0.08082515565542091,3.0,4.0,7.0
South America,8,30.58944800191639,0.9072708218749361,0.9254222134129887,0.18271238902065143,4.0,2.0,6.0
South America,9,30.889894086364308,1.1231061910481643,0.8690316851950058,0.1193799953856121,5.0,5.0,10.0
