holdout_continent,reference_seed,seed,topic_cosine
Africa,42,42,1.0000001192092896
Africa,42,42,1.0000001192092896
Africa,42,42,1.0000001192092896
Africa,42,42,0.9999998807907104
Africa,42,42,0.9999999403953552
Africa,42,42,0.9999999403953552
Africa,42,42,1.0
Africa,42,123,0.9993911981582642
Africa,42,123,0.9983858466148376
Africa,42,123,0.9997590780258179
Africa,42,123,0.9997302293777466
Africa,42,123,0.9992848634719849
Africa,42,123,0.9996190071105957
Africa,42,123,0.9999850988388062
Africa,42,7,0.9988042712211609
Africa,42,7,0.9980806112289429
Africa,42,7,0.9995734095573425
Africa,42,7,0.9998117089271545
Africa,42,7,0.9994861483573914
Africa,42,7,0.9995667934417725
Africa,42,7,0.9959444999694824
Asia,42,42,0.9999999403953552
Asia,42,42,1.0000001192092896
Asia,42,42,1.0000001192092896
Asia,42,42,1.0
Asia,42,42,1.0
Asia,42,42,1.0000001192092896
Asia,42,42,0.9999998807907104
Asia,42,123,0.99972003698349
Asia,42,123,0.9997458457946777
Asia,42,123,0.9999205470085144
Asia,42,123,0.999376654624939
Asia,42,123,0.9986656308174133
Asia,42,123,0.9977597594261169
Asia,42,123,0.9949327111244202
Asia,42,7,0.9998242855072021
Asia,42,7,0.9997075200080872
Asia,42,7,0.9999793171882629
Asia,42,7,0.9999660849571228
Asia,42,7,0.999418318271637
Asia,42,7,0.9996912479400635
Asia,42,7,0.9994931221008301
Europe,42,42,1.0000001192092896
Europe,42,42,1.0000001192092896
Europe,42,42,1.0
Europe,42,42,1.0
Europe,42,42,0.9999999403953552
Europe,42,42,1.0
Europe,42,42,1.0000001192092896
Europe,42,123,0.9974333643913269
Europe,42,123,0.9980098009109497
Europe,42,123,0.9994603991508484
Europe,42,123,0.9975283145904541
Europe,42,123,0.9943280220031738
Europe,42,123,0.9995768070220947
Europe,42,123,0.9999760389328003
Europe,42,7,0.9987345933914185
Europe,42,7,0.9993021488189697
Europe,42,7,0.9993472695350647
Europe,42,7,0.9994364976882935
Europe,42,7,0.9983194470405579
Europe,42,7,0.9995905756950378
Europe,42,7,0.9999256134033203
North America,42,42,1.0
North America,42,42,1.0000001192092896
North America,42,42,1.0
North America,42,42,1.0000001192092896
North America,42,42,1.0
North America,42,42,1.0
North America,42,42,1.0000001192092896
North America,42,123,0.999727189540863
North America,42,123,0.9996938705444336
North America,42,123,0.999763548374176
North America,42,123,0.9992424249649048
North America,42,123,0.9996545910835266
North America,42,123,0.9981606602668762
North America,42,123,0.9989321827888489
North America,42,7,0.9998494982719421
North America,42,7,0.9997188448905945
North America,42,7,0.9999309778213501
North America,42,7,0.9998092651367188
North America,42,7,0.9998952150344849
North America,42,7,0.9986746907234192
North America,42,7,0.9993310570716858
Oceania,42,42,1.0000001192092896
Oceania,42,42,0.9999998807907104
Oceania,42,42,1.0
Oceania,42,42,1.0
Oceania,42,42,1.0
Oceania,42,42,1.0
Oceania,42,42,1.0
Oceania,42,123,0.9994288682937622
Oceania,42,123,0.9981233477592468
Oceania,42,123,0.9961704611778259
Oceania,42,123,0.9997059106826782
Oceania,42,123,0.9981435537338257
Oceania,42,123,0.9981005191802979
Oceania,42,123,0.9999818205833435
Oceania,42,7,0.9997245669364929
Oceania,42,7,0.996261477470398
Oceania,42,7,0.9993717074394226
Oceania,42,7,0.9993529319763184
Oceania,42,7,0.9989948272705078
Oceania,42,7,0.998903214931488
Oceania,42,7,0.9999828934669495
South America,42,42,1.0
South America,42,42,0.9999999403953552
South America,42,42,0.9999999403953552
South America,42,42,1.0
South America,42,42,1.0
South America,42,42,1.0
South America,42,42,0.9999999403953552
South America,42,123,0.9988349080085754
South America,42,123,0.9991723895072937
South America,42,123,0.9989832639694214
South America,42,123,0.9982631802558899
South America,42,123,0.9910411834716797
South America,42,123,0.977940559387207
South America,42,123,0.999962568283081
South America,42,7,0.9994639754295349
South America,42,7,0.999906063079834
South America,42,7,0.9994831085205078
South America,42,7,0.9991475939750671
South America,42,7,0.9938206672668457
South America,42,7,0.9779506921768188
South America,42,7,0.9999920129776001
